ID,treatment,species,measure,wk_1,wk_2,wk_3,wk_4,wk_5,wk_6,wk_7,wk_8
ob-c7,control,obli,height,40,44.5,48,49.5,51,53.5,54.5,54.5
ob-d1,drought,obli,height,58,60,60.5,60.5,61,61,61,61
ob-d2,drought,obli,height,55,59,60.5,60.5,61.5,61.5,61.5,61.5
ob-d3,drought,obli,height,36,41,41,41,41.5,42,42,42
ob-d4,drought,obli,height,14.5,19,20.5,22.5,25.5,28.5,30.5,30.5
ob-d5,drought,obli,height,24.5,28.5,31.5,35,38.5,39,40,40
ob-d6,drought,obli,height,43,44.5,46.5,47,46.5,47,47,47
ob-d7,drought,obli,height,65.5,69,70,70,70,71,71.5,72
pu-c1,control,pulch,height,44.5,45.5,46,47,47.5,48.5,50,50
pu-c2,control,pulch,height,9,10,11,11,11.5,12,12.5,13
pu-c3,control,pulch,height,43.5,45.5,46.5,47.5,50.5,52.5,53,53.5
pu-c4,control,pulch,height,10.5,12.5,15,16,17.5,21,21.5,24
pu-c5,control,pulch,height,31,25,31.5,28,28,29.5,30,30
pu-c6,control,pulch,height,40,41,42.5,42.5,42,43.5,47.5,49
pu-c7,control,pulch,height,43,45.5,48,49.5,50.5,52,53,53
pu-c8,control,pulch,height,40.5,40.5,40.5,40.5,41,41.5,42.5,43.5
pu-d1,drought,pulch,height,11.5,14,14.5,15.5,16.5,16.5,17,16.5
pu-d2,drought,pulch,height,33,33.5,34,34,34,34,34.5,33.5
pu-d3,drought,pulch,height,19.5,23,24,24,24,24,24.5,24
pu-d4,drought,pulch,height,64,64.5,65,65,65,65,65,65
pu-d5,drought,pulch,height,40,42.5,42.5,42.5,43,43,43.5,42.5
pu-d6,drought,pulch,height,54.5,56.5,57.5,57.5,57.5,58,57.5,57
pu-d7,drought,pulch,height,42,42.5,43.5,44,44,44,44.5,43
pu-d8,drought,pulch,height,13.5,15,15,16,15.5,15.5,16,15
te-c1,control,tenur,height,30,40.5,45,47.5,50,52.5,53.5,53
te-c2,control,tenur,height,17,28.5,31,33.5,36.5,40.5,43,42.5
te-d1,drought,tenur,height,28,36,37.5,37.5,37.5,37.5,37.5,37.5
te-d2,drought,tenur,height,19,26,26,26.5,26.5,26.5,26.5,26.5
vi-c1,control,vimi ,height,47.5,49.5,51,52.4,52.5,54,54.5,56
vi-c2,control,vimi ,height,47.5,49.5,50.5,51,51.5,52.5,52.5,53
vi-c3,control,vimi ,height,56.5,61,63,64.5,65.5,67.5,68.5,69
vi-c4,control,vimi ,height,59,65.5,67,69,70.5,71.5,72,73.5
vi-c5,control,vimi ,height,44,45.5,47.5,48,48.5,49,50,49.5
vi-c6,control,vimi ,height,56,61.5,64,65.5,67.5,68.5,68.5,68.5
vi-c7,control,vimi ,height,40,41.5,43,43,43,43.5,43.5,52
vi-c8,control,vimi ,height,56,61.5,64,65.5,69,72,73.5,71.5
vi-d1,drought,vimi ,height,42.5,43.5,43.5,44.5,44.5,44.5,44.5,43.5
vi-d2,drought,vimi ,height,54.5,56,56.5,57,57,57.5,57.5,57.5
vi-d3,drought,vimi ,height,52,53.5,54,54.5,54.5,55,54.5,54.5
vi-d4,drought,vimi ,height,40,42.5,43,43,43,43,43.5,42.5
vi-d5,drought,vimi ,height,51,52,52.5,52.5,53,53,54,53
vi-d6,drought,vimi ,height,47.5,49.5,50.5,50.5,50.5,50.5,51,51
vi-d7,drought,vimi ,height,37,38.5,38.5,39,39,39,39.5,38.5
vi-d8,drought,vimi ,height,57,57.5,58,58,58,58,58,58
