Date,Logger1_probe1,Logger1_probe2,Logger2_probe1,Logger2_probe2
11/04/2021 3:35,0.268,0.3077,0.3106,0.2817
11/04/2021 5:35,0.2666,0.3072,0.3486,0.3321
11/04/2021 7:35,0.2635,0.3072,0.3367,0.3277
11/04/2021 9:35,0.255,0.3058,0.3339,0.3256
11/04/2021 11:35,0.2441,0.3037,0.329,0.3204
11/04/2021 13:35,0.2286,0.3008,0.3223,0.2997
11/04/2021 15:35,0.2148,0.299,0.3133,0.2904
11/04/2021 17:35,0.2061,0.2984,0.3095,0.2853
11/04/2021 19:35,0.2029,0.2979,0.308,0.2827
11/04/2021 21:35,0.2003,0.2976,0.3072,0.2806
11/04/2021 23:35,0.1976,0.2973,0.3062,0.2786
11/05/2021 1:35,0.1958,0.297,0.3054,0.2766
11/05/2021 3:35,0.1939,0.297,0.3051,0.2756
11/05/2021 5:35,0.1917,0.2966,0.3043,0.2739
11/05/2021 7:35,0.1866,0.2959,0.3326,0.3171
11/05/2021 9:35,0.1762,0.2949,0.3304,0.3168
11/05/2021 11:35,0.1652,0.2928,0.3274,0.3121
11/05/2021 13:35,0.1532,0.2895,0.3308,0.3037
11/05/2021 15:35,0.1459,0.2874,0.3223,0.2955
11/05/2021 17:35,0.1412,0.2871,0.3183,0.2914
11/05/2021 19:35,0.1375,0.2864,0.3168,0.2895
11/05/2021 21:35,0.1357,0.2861,0.316,0.2881
11/05/2021 23:35,0.1347,0.2857,0.3151,0.2864
11/06/2021 1:35,0.1331,0.2857,0.3144,0.2853
11/06/2021 3:35,0.1317,0.2853,0.314,0.2844
11/06/2021 5:35,0.1307,0.2853,0.3133,0.2834
11/06/2021 7:35,0.1281,0.2844,0.3389,0.3261
11/06/2021 9:35,0.1246,0.2837,0.3384,0.3244
11/06/2021 11:35,0.1194,0.2821,0.3352,0.3219
11/06/2021 13:35,0.1174,0.279,0.3352,0.3148
11/06/2021 15:35,0.1091,0.2766,0.3304,0.3043
11/06/2021 17:35,0.1031,0.2759,0.3261,0.299
11/06/2021 19:35,0.0992,0.2753,0.3223,0.2959
11/06/2021 21:35,0.0981,0.2743,0.3195,0.2928
11/06/2021 23:35,0.0963,0.2739,0.3183,0.2908
11/07/2021 1:35,0.0949,0.2736,0.3175,0.2898
11/07/2021 3:35,0.0937,0.2736,0.3168,0.2884
11/07/2021 5:35,0.0932,0.2732,0.3163,0.2874
11/07/2021 7:35,0.0926,0.2726,0.3183,0.283
11/07/2021 9:35,0.0914,0.2701,0.3343,0.324
11/07/2021 11:35,0.0896,0.2673,0.3317,0.3216
11/07/2021 13:35,0.085,0.2653,0.3343,0.3148
11/07/2021 15:35,0.0803,0.2632,0.3304,0.3051
11/07/2021 17:35,0.0738,0.2621,0.3269,0.3001
11/07/2021 19:35,0.0708,0.2618,0.3235,0.2973
11/07/2021 21:35,0.0702,0.2611,0.3219,0.2952
11/07/2021 23:35,0.0684,0.2607,0.3207,0.2935
11/08/2021 1:35,0.0671,0.2604,0.3195,0.2922
11/08/2021 3:35,0.0671,0.2604,0.3195,0.2911
11/08/2021 5:35,0.0671,0.26,0.359,0.3393
11/08/2021 7:35,0.0678,0.2592,0.35,0.3348
11/08/2021 9:35,0.0653,0.2585,0.3476,0.3312
11/08/2021 11:35,0.0646,0.256,0.3447,0.329
11/08/2021 13:35,0.0702,0.2532,0.3427,0.3163
11/08/2021 15:35,0.0621,0.2502,0.3352,0.308
11/08/2021 17:35,0.0555,0.2494,0.3304,0.3029
11/08/2021 19:35,0.0521,0.249,0.329,0.3005
11/08/2021 21:35,0.0501,0.2487,0.3277,0.2994
11/08/2021 23:35,0.0494,0.2487,0.3269,0.2987
11/09/2021 1:35,0.049,0.2487,0.3265,0.2979
11/09/2021 3:35,0.0482,0.2483,0.3256,0.2973
11/09/2021 5:35,0.0474,0.2479,0.3457,0.3326
11/09/2021 7:35,0.049,0.2471,0.3412,0.3295
11/09/2021 9:35,0.0482,0.2449,0.3408,0.3277
11/09/2021 11:35,0.049,0.2414,0.3367,0.3204
11/09/2021 13:35,0.0482,0.2379,0.329,0.3029
11/09/2021 15:35,0.0434,0.2339,0.3195,0.2922
11/09/2021 17:35,0.0328,0.233,0.3151,0.2871
11/09/2021 19:35,0.0283,0.2327,0.3133,0.2844
11/09/2021 21:35,0.027,0.2323,0.3113,0.2821
11/09/2021 23:35,0.0261,0.2318,0.3102,0.2803
11/10/2021 1:35,0.0252,0.2315,0.3095,0.2786
11/10/2021 3:35,0.0261,0.2311,0.3084,0.277
11/10/2021 5:35,0.0252,0.2306,0.3072,0.2756
11/10/2021 7:35,0.0274,0.2294,0.3051,0.2719
