Pot_number,Composition,Plant_number,Species_where_mixed,Height_1907,Notes_1907,Height_0209,Notes_0209,Height_0909,Height_2110,Green_stem_2110,Notes_2110
82,AACC,2,C,370,,530,,525,525,,
82,AACC,3,C,300,,420,,430,430,,
82,AACC,4,A,285,,515,,505,505,,
83,BB,1,,170,,290,,295,295,,
83,BB,2,,290,,500,,485,485,,"Courtney, not filled in, assuming same"
84,AB,1,B,15,"Check ID, one plant recorded",110,,140,380,,
84,AB,2,,NA,"Check ID, one plant recorded",NA,,,NA,,
85,BD,1,,450,,620,,650,840,,
85,BD,2,,15,,20,,20,35,,
86,AADD,1,,510,,670,,670,670,,
86,AADD,2,,15,"15/40, wasn't measuring the whole root length previously 9/9; part buried",20,,40,40,,
86,AADD,3,,435,,540,,540,540,,
86,AADD,4,,160,,235,,230,230,,
87,AAA,1,D,540,Intended to be AADD,650,,665,680,,
87,AAA,2,A,115,Intended to be AADD,155,,155,165,,
87,AAA,3,D,530,Intended to be AADD,605,,620,720,,
88,BB,1,,285,,330,,330,330,,
88,BB,2,,670,,730,,745,750,,
89,CCCC,1,,15,Dead leaf was buried,10,,Dead,10?,,
89,CCCC,2,,410,Longest branch,450,,455,470,,
89,CCCC,3,,320,Left to right,390,,400,400,,
89,CCCC,4,,410,,530,,555,645,,
90,DDDD,1,,410,,460,,465,465,,
90,DDDD,2,,510,,640,,640,725,,
90,DDDD,3,,490,,600,,620,690,,
90,DDDD,4,,520,,660,,690,820,,
91,CCCC,1,,195,,250,,250,255,,
91,CCCC,2,,270,,360,,355,390,,
91,CCCC,3,,530,,640,,660,670,,
91,CCCC,4,,335,,445,,450,440,,
92,CCDD,2,,270,Note different order measured in,375,,380,395,,
92,CCDD,3,,110,Note different order measured in,130,,130,140,,
92,CCDD,4,,580,Note different order measured in,700,,710,760,,
92,CCDD,1,,110,Note different order measured in,155,,155,180,,
93,AAAA,1,,140,,180,,150,155,,
93,AAAA,2,,150,Right,210,,210,245,,
93,AAAA,3,,260,Middle stem measured (very branchy),380,,410,485,,
93,AAAA,4,,530,,750,,780,890,,
94,CCCC,1,,485,,570,,565,565,Y,
94,CCCC,2,,335,,430,,410,410,,
94,CCCC,3,,305,,420,,385,385,,
94,CCCC,4,,340,,400,,420,420,,
95,AAAA,1,,360,Note different order measured in,470,,465,465,,
95,AAAA,3,,185,Note different order measured in,280,,280,280,,
95,AAAA,2,,10,Note different order measured in,15,,15,15,,
95,AAAA,4,,525,Note different order measured in,695,,710,710,,
96,OBLI-B,1,,390,,600,,605,640,,
97,CCDD,2,,300,Note different order measured in,470,,440,440,,
97,CCDD,1,,385,Note different order measured in,460,,465,465,,
97,CCDD,3,,335,Note different order measured in,370,,370,370,,
97,CCDD,4,,395,Note different order measured in,510,,500,500,,
98,BB,1,,440,,600,,605,665,,
98,BB,2,,295,,395,,410,490,,
99,AB,1,B,585,,740,,780,780,,
99,AB,2,,370,,470,,480,480,,
100,VIMI-D,1,A,605,,730,,735,750,,
101,OVAT-C,1,,375,,560,,550,610,,
102,AAAA,1,,205,,490,,470,470,,
102,AAAA,2,,90,Wrong order?,660,,655,655,,
102,AAAA,3,,275,,265,,250,250,,"Courtney, assuming same as last time"
102,AAAA,4,,60,Very weird morphology,125,,115,115,,
103,AMYG-A,1,,540,,780,,785,785,,
104,OVAT-C,1,,605,,750,,795,905,,Aphids up top
105,AB,1,A,350,,430,,445,460,,
105,AB,2,B,550,,630,,640,710,,
106,CCDD,1,C,335,,375,,375,375,,
106,CCDD,2,C,485,,535,,550,550,,
106,CCDD,3,D,510,,610,,615,710,,
106,CCDD,4,D,360,,380,,385,430,,
107,VIMI-D,1,,660,,740,,750,750,,
108,CCCC,1,,330,,475,,485,530,,
108,CCCC,2,,360,,440,,450,475,,
108,CCCC,3,,270,,390,,400,435,,
108,CCCC,4,,235,,330,,350,385,,
109,OVAT-C,1,,335,,450,,465,515,,
110,NA,NA,,NA,Nothing there,NA,,,NA,,
111,CD,1,C,405,Closest,605,,580,700,,
111,CD,2,B,440,,600,,635,655,,
112,BD,1,,460,Check IDs - BBDD?; left to right,600,,605,660,,
112,BD,2,,160,Check IDs - BBDD?; left to right,220,,215,220,,
112,BD,3,,375,Check IDs - BBDD?; left to right,490,,480,525,,
112,BD,4,,330,Check IDs - BBDD?; left to right,455,,460,480,,
113,AB,1,,120,check IDs,230,,230,230,,
113,AB,2,,5,check IDs,5,,15,5,,
113,AB,3,,220,check IDs,440,,445,445,,
113,AB,4,,300,check IDs,340,,345,345,,
114,VIMI-D,1,,560,Was intended to be BD (labelled as such),625,,635,725,,
115,CCCC,1,,175,Was intended to be BC (labelled as such),230,,230,230,,
115,CCCC,2,,440,Was intended to be BC (labelled as such),510,,510,510,,
115,CCCC,3,,425,Was intended to be BC (labelled as such),465,,465,465,,
115,CCCC,4,,215,Was intended to be BC (labelled as such),300,,300,300,,
116,DDDD,1,,510,Was intended to be BD (labelled as such),650,,655,655,,
116,DDDD,2,,135,Was intended to be BD (labelled as such),205,,210,210,,
116,DDDD,3,,360,Was intended to be BD (labelled as such),445,,475,475,,
116,DDDD,4,,380,Was intended to be BD (labelled as such); right,450,,460,460,,
117,OVAT-C,1,,380,Was intended to be BC (labelled as such),480,,490,510,,
118,AAAA,1,,230,Was intended to be AB (labelled as such),335,,345,365,,
118,AAAA,2,,370,Was intended to be AB (labelled as such),485,,490,525,,
118,AAAA,3,,410,Was intended to be AB (labelled as such),490,,485,490,,Plant 4; this is where it is in the pot but values written where I think they should be
118,AAAA,4,,320,Was intended to be AB (labelled as such),415,,420,420,,Plant 3
119,CCCC,1,,245,Was intended to be BC (labelled as such); old powdery mildew,330,,340,420,,
119,CCCC,2,,410,Was intended to be BC (labelled as such),480,,480,490,,
119,CCCC,3,,155,Was intended to be BC (labelled as such),225,Old powdery mildew,250,260,,
119,CCCC,4,,520,Was intended to be BC (labelled as such),640,,655,670,,
120,AMYG-A,1,,410,Was intended to be AB (labelled as such),515,,530,545,,
